period,county,subcounty,type,pregnancy
2017Q3,Nandi County,Emgwen,Teen pregnancy (10 to 19 years),109
2017Q3,Nandi County,Mosop,Teen pregnancy (10 to 19 years),471
2017Q3,Nandi County,Nandi Hills,Teen pregnancy (10 to 19 years),167
2017Q3,Nandi County,Tinderet,Teen pregnancy (10 to 19 years),154
2017Q3,Narok County,Narok East,Teen pregnancy (10 to 19 years),80
2017Q3,Narok County,Narok North,Teen pregnancy (10 to 19 years),274
2017Q3,Narok County,Narok South,Teen pregnancy (10 to 19 years),595
2017Q3,Narok County,Narok West,Teen pregnancy (10 to 19 years),426
2017Q3,Narok County,Transmara East,Teen pregnancy (10 to 19 years),192
2017Q3,Narok County,Transmara West,Teen pregnancy (10 to 19 years),500
2017Q3,Nyamira County,Borabu,Teen pregnancy (10 to 19 years),130
2017Q3,Nyamira County,Manga,Teen pregnancy (10 to 19 years),148
2017Q3,Nyamira County,Masaba North,Teen pregnancy (10 to 19 years),128
2017Q3,Nyamira County,Nyamira North,Teen pregnancy (10 to 19 years),198
2017Q3,Nyamira County,Nyamira,Teen pregnancy (10 to 19 years),81
2017Q3,Nyandarua County,Kinangop,Teen pregnancy (10 to 19 years),186
2017Q3,Nyandarua County,Kipipiri,Teen pregnancy (10 to 19 years),8
2017Q3,Nyandarua County,Ndaragwa,Teen pregnancy (10 to 19 years),18
2017Q3,Nyandarua County,Oljoroorok,Teen pregnancy (10 to 19 years),24
2017Q3,Nyandarua County,Olkalou,Teen pregnancy (10 to 19 years),158
2017Q3,Nyeri County,Kieni East,Teen pregnancy (10 to 19 years),81
2017Q3,Nyeri County,Kieni West,Teen pregnancy (10 to 19 years),85
2017Q3,Nyeri County,Mathira East,Teen pregnancy (10 to 19 years),327
2017Q3,Nyeri County,Mathira West,Teen pregnancy (10 to 19 years),37
2017Q3,Nyeri County,Mukurweini,Teen pregnancy (10 to 19 years),77
2017Q3,Nyeri County,Nyeri Central,Teen pregnancy (10 to 19 years),206
2017Q3,Nyeri County,Nyeri South,Teen pregnancy (10 to 19 years),86
2017Q3,Nyeri County,Tetu,Teen pregnancy (10 to 19 years),11
2017Q3,Samburu County,Samburu Central,Teen pregnancy (10 to 19 years),84
2017Q3,Samburu County,Samburu East,Teen pregnancy (10 to 19 years),157
2017Q3,Samburu County,Samburu North,Teen pregnancy (10 to 19 years),33
2017Q3,Siaya County,Alego Usonga,Teen pregnancy (10 to 19 years),414
2017Q3,Siaya County,Bondo,Teen pregnancy (10 to 19 years),191
2017Q3,Siaya County,Gem,Teen pregnancy (10 to 19 years),251
2017Q3,Siaya County,Rarieda,Teen pregnancy (10 to 19 years),381
2017Q3,Siaya County,Ugenya,Teen pregnancy (10 to 19 years),232
2017Q3,Siaya County,Ugunja,Teen pregnancy (10 to 19 years),240
2017Q3,Taita Taveta County,Mwatate,Teen pregnancy (10 to 19 years),16
2017Q3,Taita Taveta County,Taveta,Teen pregnancy (10 to 19 years),103
2017Q3,Taita Taveta County,Voi,Teen pregnancy (10 to 19 years),59
2017Q3,Taita Taveta County,Wundanyi,Teen pregnancy (10 to 19 years),7
2017Q3,Tana River County,Bura,Teen pregnancy (10 to 19 years),8
2017Q3,Tana River County,Galole,Teen pregnancy (10 to 19 years),185
2017Q3,Tana River County,Garsen,Teen pregnancy (10 to 19 years),84
2017Q3,Tharaka Nithi County,Chuka,Teen pregnancy (10 to 19 years),150
2017Q3,Tharaka Nithi County,Igambangombe,Teen pregnancy (10 to 19 years),60
2017Q3,Tharaka Nithi County,Muthambi,Teen pregnancy (10 to 19 years),39
2017Q3,Tharaka Nithi County,Mwimbi,Teen pregnancy (10 to 19 years),252
2017Q3,Tharaka Nithi County,Tharaka North,Teen pregnancy (10 to 19 years),106
2017Q3,Tharaka Nithi County,Tharaka South,Teen pregnancy (10 to 19 years),208
2017Q3,Trans Nzoia County,Cherangany,Teen pregnancy (10 to 19 years),78
2017Q3,Trans Nzoia County,Endebess,Teen pregnancy (10 to 19 years),103
2017Q3,Trans Nzoia County,Kiminini,Teen pregnancy (10 to 19 years),203
2017Q3,Trans Nzoia County,Kwanza,Teen pregnancy (10 to 19 years),258
2017Q3,Trans Nzoia County,Saboti,Teen pregnancy (10 to 19 years),144
2017Q3,Turkana County,Kibish,Teen pregnancy (10 to 19 years),88
2017Q3,Turkana County,Loima,Teen pregnancy (10 to 19 years),139
2017Q3,Turkana County,Turkana Central,Teen pregnancy (10 to 19 years),452
2017Q3,Turkana County,Turkana East,Teen pregnancy (10 to 19 years),83
2017Q3,Turkana County,Turkana North,Teen pregnancy (10 to 19 years),144
2017Q3,Turkana County,Turkana South,Teen pregnancy (10 to 19 years),224
2017Q3,Turkana County,Turkana West,Teen pregnancy (10 to 19 years),171
2017Q3,Uasin Gishu County,Ainabkoi,Teen pregnancy (10 to 19 years),269
2017Q3,Uasin Gishu County,Kapseret,Teen pregnancy (10 to 19 years),272
2017Q3,Uasin Gishu County,Kesses,Teen pregnancy (10 to 19 years),205
2017Q3,Uasin Gishu County,Moiben,Teen pregnancy (10 to 19 years),448
2017Q3,Uasin Gishu County,Soy,Teen pregnancy (10 to 19 years),496
2017Q3,Uasin Gishu County,Turbo,Teen pregnancy (10 to 19 years),447
2017Q3,Vihiga County,Emuhaya,Teen pregnancy (10 to 19 years),7
2017Q3,Vihiga County,Hamisi,Teen pregnancy (10 to 19 years),66
2017Q3,Vihiga County,Luanda,Teen pregnancy (10 to 19 years),217
2017Q3,Vihiga County,Sabatia,Teen pregnancy (10 to 19 years),83
2017Q3,Vihiga County,Vihiga,Teen pregnancy (10 to 19 years),63
2017Q3,Wajir County,Eldas,Teen pregnancy (10 to 19 years),26
2017Q3,Wajir County,Tarbaj,Teen pregnancy (10 to 19 years),38
2017Q3,Wajir County,Wajir East,Teen pregnancy (10 to 19 years),94
2017Q3,Wajir County,Wajir North,Teen pregnancy (10 to 19 years),64
2017Q3,Wajir County,Wajir South,Teen pregnancy (10 to 19 years),77
2017Q3,Wajir County,Wajir West,Teen pregnancy (10 to 19 years),65
2017Q3,West Pokot County,Pokot Central,Teen pregnancy (10 to 19 years),85
2017Q3,West Pokot County,Pokot North,Teen pregnancy (10 to 19 years),115
2017Q3,West Pokot County,Pokot South,Teen pregnancy (10 to 19 years),524
2017Q3,West Pokot County,West Pokot,Teen pregnancy (10 to 19 years),200
2017Q4,Baringo County,Baringo Central,Teen pregnancy (10 to 19 years),155
2017Q4,Baringo County,Baringo North,Teen pregnancy (10 to 19 years),136
2017Q4,Baringo County,East Pokot,Teen pregnancy (10 to 19 years),43
2017Q4,Baringo County,Koibatek,Teen pregnancy (10 to 19 years),248
2017Q4,Baringo County,Marigat,Teen pregnancy (10 to 19 years),297
2017Q4,Baringo County,Mogotio,Teen pregnancy (10 to 19 years),119
2017Q4,Baringo County,Tiaty East,Teen pregnancy (10 to 19 years),77
2017Q4,Bomet County,Bomet Central,Teen pregnancy (10 to 19 years),386
2017Q4,Bomet County,Bomet East,Teen pregnancy (10 to 19 years),681
2017Q4,Bomet County,Chepalungu,Teen pregnancy (10 to 19 years),476
2017Q4,Bomet County,Konoin,Teen pregnancy (10 to 19 years),340
2017Q4,Bomet County,Sotik,Teen pregnancy (10 to 19 years),475
2017Q4,Bungoma County,Bumula,Teen pregnancy (10 to 19 years),611
2017Q4,Bungoma County,Cheptais,Teen pregnancy (10 to 19 years),337
2017Q4,Bungoma County,Kabuchai,Teen pregnancy (10 to 19 years),699
2017Q4,Bungoma County,Kanduyi,Teen pregnancy (10 to 19 years),665
2017Q4,Bungoma County,Kimilili,Teen pregnancy (10 to 19 years),430
2017Q4,Bungoma County,Mt Elgon,Teen pregnancy (10 to 19 years),203
2017Q4,Bungoma County,Sirisia,Teen pregnancy (10 to 19 years),526
2017Q4,Bungoma County,Tongaren,Teen pregnancy (10 to 19 years),727
2017Q4,Bungoma County,Webuye East,Teen pregnancy (10 to 19 years),364
2017Q4,Bungoma County,Webuye West,Teen pregnancy (10 to 19 years),504
2017Q4,Busia County,Bunyala,Teen pregnancy (10 to 19 years),114
2017Q4,Busia County,Butula,Teen pregnancy (10 to 19 years),489
2017Q4,Busia County,Matayos,Teen pregnancy (10 to 19 years),554
2017Q4,Busia County,Nambale,Teen pregnancy (10 to 19 years),405
2017Q4,Busia County,Samia,Teen pregnancy (10 to 19 years),334
2017Q4,Busia County,Teso North,Teen pregnancy (10 to 19 years),493
2017Q4,Busia County,Teso South,Teen pregnancy (10 to 19 years),409
2017Q4,Elgeyo Marakwet County,Keiyo North,Teen pregnancy (10 to 19 years),169
2017Q4,Elgeyo Marakwet County,Keiyo South,Teen pregnancy (10 to 19 years),172
2017Q4,Elgeyo Marakwet County,Marakwet East,Teen pregnancy (10 to 19 years),126
2017Q4,Elgeyo Marakwet County,Marakwet West,Teen pregnancy (10 to 19 years),351
2017Q4,Embu County,Manyatta,Teen pregnancy (10 to 19 years),300
2017Q4,Embu County,Mbeere North,Teen pregnancy (10 to 19 years),89
2017Q4,Embu County,Mbeere South,Teen pregnancy (10 to 19 years),221
2017Q4,Embu County,Runyenjes,Teen pregnancy (10 to 19 years),225
2017Q4,Garissa County,Balambala,Teen pregnancy (10 to 19 years),36
2017Q4,Garissa County,Dadaab,Teen pregnancy (10 to 19 years),67
2017Q4,Garissa County,Fafi,Teen pregnancy (10 to 19 years),56
2017Q4,Garissa County,Garissa,Teen pregnancy (10 to 19 years),527
2017Q4,Garissa County,Hulugho,Teen pregnancy (10 to 19 years),5
2017Q4,Garissa County,Ijara,Teen pregnancy (10 to 19 years),92
2017Q4,Garissa County,Lagdera,Teen pregnancy (10 to 19 years),46
2017Q4,Homa Bay County,Homa Bay Town,Teen pregnancy (10 to 19 years),413
2017Q4,Homa Bay County,Kabondo Kasipul,Teen pregnancy (10 to 19 years),466
2017Q4,Homa Bay County,Karachuonyo,Teen pregnancy (10 to 19 years),529
2017Q4,Homa Bay County,Mbita,Teen pregnancy (10 to 19 years),299
2017Q4,Homa Bay County,Ndhiwa,Teen pregnancy (10 to 19 years),813
2017Q4,Homa Bay County,Rachuonyo South,Teen pregnancy (10 to 19 years),478
2017Q4,Homa Bay County,Rangwe,Teen pregnancy (10 to 19 years),324
2017Q4,Homa Bay County,Suba South,Teen pregnancy (10 to 19 years),420
2017Q4,Isiolo County,Garbatulla,Teen pregnancy (10 to 19 years),67
2017Q4,Isiolo County,Isiolo,Teen pregnancy (10 to 19 years),375
2017Q4,Isiolo County,Merti,Teen pregnancy (10 to 19 years),48
2017Q4,Kajiado County,Kajiado Central,Teen pregnancy (10 to 19 years),499
2017Q4,Kajiado County,Kajiado East,Teen pregnancy (10 to 19 years),375
2017Q4,Kajiado County,Kajiado North,Teen pregnancy (10 to 19 years),329
2017Q4,Kajiado County,Kajiado West,Teen pregnancy (10 to 19 years),372
2017Q4,Kajiado County,Loitokitok,Teen pregnancy (10 to 19 years),412
2017Q4,Kakamega County,Butere,Teen pregnancy (10 to 19 years),380
2017Q4,Kakamega County,Ikolomani,Teen pregnancy (10 to 19 years),216
2017Q4,Kakamega County,Khwisero,Teen pregnancy (10 to 19 years),66
2017Q4,Kakamega County,Likuyani,Teen pregnancy (10 to 19 years),147
2017Q4,Kakamega County,Lugari,Teen pregnancy (10 to 19 years),218
2017Q4,Kakamega County,Lurambi,Teen pregnancy (10 to 19 years),109
2017Q4,Kakamega County,Malava,Teen pregnancy (10 to 19 years),240
2017Q4,Kakamega County,Matungu,Teen pregnancy (10 to 19 years),250
2017Q4,Kakamega County,Mumias East,Teen pregnancy (10 to 19 years),135
2017Q4,Kakamega County,Mumias West,Teen pregnancy (10 to 19 years),394
2017Q4,Kakamega County,Navakholo,Teen pregnancy (10 to 19 years),203
2017Q4,Kakamega County,Shinyalu,Teen pregnancy (10 to 19 years),338
2017Q4,Kericho County,Ainamoi,Teen pregnancy (10 to 19 years),321
2017Q4,Kericho County,Belgut,Teen pregnancy (10 to 19 years),138
2017Q4,Kericho County,Bureti,Teen pregnancy (10 to 19 years),302
2017Q4,Kericho County,Kipkelion East,Teen pregnancy (10 to 19 years),206
2017Q4,Kericho County,Kipkelion West,Teen pregnancy (10 to 19 years),157
2017Q4,Kericho County,Sigowet/Soin,Teen pregnancy (10 to 19 years),181
2017Q4,Kiambu County,Gatundu North,Teen pregnancy (10 to 19 years),124
2017Q4,Kiambu County,Gatundu South,Teen pregnancy (10 to 19 years),294
2017Q4,Kiambu County,Githunguri,Teen pregnancy (10 to 19 years),174
2017Q4,Kiambu County,Juja,Teen pregnancy (10 to 19 years),125
2017Q4,Kiambu County,Kabete,Teen pregnancy (10 to 19 years),170
2017Q4,Kiambu County,Kiambaa,Teen pregnancy (10 to 19 years),208
2017Q4,Kiambu County,Kiambu Town,Teen pregnancy (10 to 19 years),205
2017Q4,Kiambu County,Kikuyu,Teen pregnancy (10 to 19 years),158
2017Q4,Kiambu County,Lari,Teen pregnancy (10 to 19 years),209
2017Q4,Kiambu County,Limuru,Teen pregnancy (10 to 19 years),194
2017Q4,Kiambu County,Ruiru,Teen pregnancy (10 to 19 years),492
2017Q4,Kiambu County,Thika Town,Teen pregnancy (10 to 19 years),857
2017Q4,Kilifi County,Ganze,Teen pregnancy (10 to 19 years),323
2017Q4,Kilifi County,Kaloleni,Teen pregnancy (10 to 19 years),380
2017Q4,Kilifi County,Kilifi North,Teen pregnancy (10 to 19 years),797
2017Q4,Kilifi County,Kilifi South,Teen pregnancy (10 to 19 years),368
2017Q4,Kilifi County,Magarini,Teen pregnancy (10 to 19 years),682
2017Q4,Kilifi County,Malindi,Teen pregnancy (10 to 19 years),299
2017Q4,Kilifi County,Rabai,Teen pregnancy (10 to 19 years),170
2017Q4,Kirinyaga County,Kirinyaga Central,Teen pregnancy (10 to 19 years),162
2017Q4,Kirinyaga County,Kirinyaga East,Teen pregnancy (10 to 19 years),88
2017Q4,Kirinyaga County,Kirinyaga North/Mwea West,Teen pregnancy (10 to 19 years),139
2017Q4,Kirinyaga County,Kirinyaga South,Teen pregnancy (10 to 19 years),271
2017Q4,Kirinyaga County,Kirinyaga West,Teen pregnancy (10 to 19 years),136
2017Q4,Kisii County,Bobasi,Teen pregnancy (10 to 19 years),444
2017Q4,Kisii County,Bomachoge Borabu,Teen pregnancy (10 to 19 years),259
2017Q4,Kisii County,Bomachoge Chache,Teen pregnancy (10 to 19 years),254
2017Q4,Kisii County,Bonchari,Teen pregnancy (10 to 19 years),231
2017Q4,Kisii County,Kitutu Chache North,Teen pregnancy (10 to 19 years),199
2017Q4,Kisii County,Kitutu Chache South,Teen pregnancy (10 to 19 years),1049
2017Q4,Kisii County,Nyaribari Chache,Teen pregnancy (10 to 19 years),184
2017Q4,Kisii County,Nyaribari Masaba,Teen pregnancy (10 to 19 years),281
2017Q4,Kisii County,South Mugirango,Teen pregnancy (10 to 19 years),309
2017Q4,Kisumu County,Kisumu Central,Teen pregnancy (10 to 19 years),702
2017Q4,Kisumu County,Kisumu East,Teen pregnancy (10 to 19 years),310
2017Q4,Kisumu County,Kisumu West,Teen pregnancy (10 to 19 years),442
2017Q4,Kisumu County,Muhoroni,Teen pregnancy (10 to 19 years),425
2017Q4,Kisumu County,Nyakach,Teen pregnancy (10 to 19 years),552
2017Q4,Kisumu County,Nyando,Teen pregnancy (10 to 19 years),480
2017Q4,Kisumu County,Seme,Teen pregnancy (10 to 19 years),396
2017Q4,Kitui County,Kitui Central,Teen pregnancy (10 to 19 years),294
2017Q4,Kitui County,Kitui East,Teen pregnancy (10 to 19 years),167
2017Q4,Kitui County,Kitui Rural,Teen pregnancy (10 to 19 years),200
2017Q4,Kitui County,Kitui South,Teen pregnancy (10 to 19 years),602
2017Q4,Kitui County,Kitui West,Teen pregnancy (10 to 19 years),172
2017Q4,Kitui County,Mwingi Central,Teen pregnancy (10 to 19 years),447
2017Q4,Kitui County,Mwingi North,Teen pregnancy (10 to 19 years),299
2017Q4,Kitui County,Mwingi West,Teen pregnancy (10 to 19 years),143
2017Q4,Kwale County,Kinango,Teen pregnancy (10 to 19 years),652
2017Q4,Kwale County,Lunga Lunga,Teen pregnancy (10 to 19 years),595
2017Q4,Kwale County,Matuga,Teen pregnancy (10 to 19 years),416
2017Q4,Kwale County,Msambweni,Teen pregnancy (10 to 19 years),415
2017Q4,Laikipia County,Laikipia East,Teen pregnancy (10 to 19 years),245
2017Q4,Laikipia County,Laikipia North,Teen pregnancy (10 to 19 years),178
2017Q4,Laikipia County,Laikipia West,Teen pregnancy (10 to 19 years),565
2017Q4,Lamu County,Lamu East,Teen pregnancy (10 to 19 years),54
2017Q4,Lamu County,Lamu West,Teen pregnancy (10 to 19 years),373
2017Q4,Machakos County,Athi River,Teen pregnancy (10 to 19 years),250
2017Q4,Machakos County,Kalama,Teen pregnancy (10 to 19 years),73
2017Q4,Machakos County,Kangundo,Teen pregnancy (10 to 19 years),105
2017Q4,Machakos County,Kathiani,Teen pregnancy (10 to 19 years),199
2017Q4,Machakos County,Machakos,Teen pregnancy (10 to 19 years),210
2017Q4,Machakos County,Masinga,Teen pregnancy (10 to 19 years),183
2017Q4,Machakos County,Matungulu,Teen pregnancy (10 to 19 years),290
2017Q4,Machakos County,Mwala,Teen pregnancy (10 to 19 years),320
2017Q4,Machakos County,Yatta,Teen pregnancy (10 to 19 years),212
2017Q4,Makueni County,Kaiti,Teen pregnancy (10 to 19 years),169
2017Q4,Makueni County,Kibwezi East,Teen pregnancy (10 to 19 years),340
2017Q4,Makueni County,Kibwezi West,Teen pregnancy (10 to 19 years),391
2017Q4,Makueni County,Kilome,Teen pregnancy (10 to 19 years),216
2017Q4,Makueni County,Makueni,Teen pregnancy (10 to 19 years),399
2017Q4,Makueni County,Mbooni,Teen pregnancy (10 to 19 years),356
2017Q4,Mandera County,Banissa,Teen pregnancy (10 to 19 years),68
2017Q4,Mandera County,Kutulo,Teen pregnancy (10 to 19 years),1
2017Q4,Mandera County,Lafey,Teen pregnancy (10 to 19 years),168
2017Q4,Mandera County,Mandera East,Teen pregnancy (10 to 19 years),7
2017Q4,Mandera County,Mandera North,Teen pregnancy (10 to 19 years),16
2017Q4,Mandera County,Mandera South,Teen pregnancy (10 to 19 years),5
2017Q4,Mandera County,Mandera West,Teen pregnancy (10 to 19 years),30
2017Q4,Marsabit County,Laisamis,Teen pregnancy (10 to 19 years),14
2017Q4,Marsabit County,Moyale,Teen pregnancy (10 to 19 years),261
2017Q4,Marsabit County,North Horr,Teen pregnancy (10 to 19 years),40
2017Q4,Marsabit County,Saku,Teen pregnancy (10 to 19 years),94
2017Q4,Meru County,Buuri,Teen pregnancy (10 to 19 years),325
2017Q4,Meru County,Igembe Central,Teen pregnancy (10 to 19 years),759
2017Q4,Meru County,Igembe North,Teen pregnancy (10 to 19 years),326
2017Q4,Meru County,Igembe South,Teen pregnancy (10 to 19 years),1075
2017Q4,Meru County,Imenti Central,Teen pregnancy (10 to 19 years),233
2017Q4,Meru County,Imenti North,Teen pregnancy (10 to 19 years),176
2017Q4,Meru County,Imenti South,Teen pregnancy (10 to 19 years),284
2017Q4,Meru County,Tigania East,Teen pregnancy (10 to 19 years),476
2017Q4,Meru County,Tigania West,Teen pregnancy (10 to 19 years),213
2017Q4,Migori County,Awendo,Teen pregnancy (10 to 19 years),495
2017Q4,Migori County,Kuria East,Teen pregnancy (10 to 19 years),249
2017Q4,Migori County,Kuria West,Teen pregnancy (10 to 19 years),635
2017Q4,Migori County,Nyatike,Teen pregnancy (10 to 19 years),590
2017Q4,Migori County,Rongo,Teen pregnancy (10 to 19 years),439
2017Q4,Migori County,Suna East,Teen pregnancy (10 to 19 years),355
2017Q4,Migori County,Suna West,Teen pregnancy (10 to 19 years),522
2017Q4,Migori County,Uriri,Teen pregnancy (10 to 19 years),599
2017Q4,Mombasa County,Changamwe,Teen pregnancy (10 to 19 years),152
2017Q4,Mombasa County,Jomvu,Teen pregnancy (10 to 19 years),343
2017Q4,Mombasa County,Kisauni,Teen pregnancy (10 to 19 years),411
2017Q4,Mombasa County,Likoni,Teen pregnancy (10 to 19 years),491
2017Q4,Mombasa County,Mvita,Teen pregnancy (10 to 19 years),161
2017Q4,Mombasa County,Nyali,Teen pregnancy (10 to 19 years),513
2017Q4,Muranga County,Gatanga,Teen pregnancy (10 to 19 years),201
2017Q4,Muranga County,Kandara,Teen pregnancy (10 to 19 years),199
2017Q4,Muranga County,Kangema,Teen pregnancy (10 to 19 years),28
2017Q4,Muranga County,Kigumo,Teen pregnancy (10 to 19 years),147
2017Q4,Muranga County,Kiharu,Teen pregnancy (10 to 19 years),193
2017Q4,Muranga County,Mathioya,Teen pregnancy (10 to 19 years),79
2017Q4,Muranga County,Muranga South,Teen pregnancy (10 to 19 years),380
2017Q4,Nairobi County,Dagoretti North,Teen pregnancy (10 to 19 years),192
2017Q4,Nairobi County,Dagoretti South,Teen pregnancy (10 to 19 years),137
2017Q4,Nairobi County,Embakasi Central,Teen pregnancy (10 to 19 years),644
2017Q4,Nairobi County,Embakasi East,Teen pregnancy (10 to 19 years),419
2017Q4,Nairobi County,Embakasi North,Teen pregnancy (10 to 19 years),346
2017Q4,Nairobi County,Embakasi South,Teen pregnancy (10 to 19 years),452
2017Q4,Nairobi County,Embakasi West,Teen pregnancy (10 to 19 years),119
2017Q4,Nairobi County,Kamukunji,Teen pregnancy (10 to 19 years),568
2017Q4,Nairobi County,Kasarani,Teen pregnancy (10 to 19 years),373
2017Q4,Nairobi County,Kibra,Teen pregnancy (10 to 19 years),245
2017Q4,Nairobi County,Langata,Teen pregnancy (10 to 19 years),364
2017Q4,Nairobi County,Makadara,Teen pregnancy (10 to 19 years),344
2017Q4,Nairobi County,Mathare,Teen pregnancy (10 to 19 years),455
2017Q4,Nairobi County,Roysambu,Teen pregnancy (10 to 19 years),296
2017Q4,Nairobi County,Ruaraka,Teen pregnancy (10 to 19 years),544
2017Q4,Nairobi County,Starehe,Teen pregnancy (10 to 19 years),247
2017Q4,Nairobi County,Westlands,Teen pregnancy (10 to 19 years),306
2017Q4,Nakuru County,Gilgil,Teen pregnancy (10 to 19 years),274
2017Q4,Nakuru County,Kuresoi North,Teen pregnancy (10 to 19 years),288
2017Q4,Nakuru County,Kuresoi South,Teen pregnancy (10 to 19 years),377
2017Q4,Nakuru County,Molo,Teen pregnancy (10 to 19 years),323
2017Q4,Nakuru County,Naivasha,Teen pregnancy (10 to 19 years),404
2017Q4,Nakuru County,Nakuru East,Teen pregnancy (10 to 19 years),285
2017Q4,Nakuru County,Nakuru North,Teen pregnancy (10 to 19 years),296
2017Q4,Nakuru County,Nakuru West,Teen pregnancy (10 to 19 years),368
2017Q4,Nakuru County,Njoro,Teen pregnancy (10 to 19 years),483
2017Q4,Nakuru County,Rongai,Teen pregnancy (10 to 19 years),193
2017Q4,Nakuru County,Subukia,Teen pregnancy (10 to 19 years),159
2017Q4,Nandi County,Aldai,Teen pregnancy (10 to 19 years),267
2017Q4,Nandi County,Chesumei,Teen pregnancy (10 to 19 years),179
2017Q4,Nandi County,Emgwen,Teen pregnancy (10 to 19 years),280
2017Q4,Nandi County,Mosop,Teen pregnancy (10 to 19 years),296
2017Q4,Nandi County,Nandi Hills,Teen pregnancy (10 to 19 years),183
2017Q4,Nandi County,Tinderet,Teen pregnancy (10 to 19 years),310
2017Q4,Narok County,Narok East,Teen pregnancy (10 to 19 years),212
2017Q4,Narok County,Narok North,Teen pregnancy (10 to 19 years),336
2017Q4,Narok County,Narok South,Teen pregnancy (10 to 19 years),586
2017Q4,Narok County,Narok West,Teen pregnancy (10 to 19 years),479
2017Q4,Narok County,Transmara East,Teen pregnancy (10 to 19 years),264
2017Q4,Narok County,Transmara West,Teen pregnancy (10 to 19 years),760
2017Q4,Nyamira County,Borabu,Teen pregnancy (10 to 19 years),249
2017Q4,Nyamira County,Manga,Teen pregnancy (10 to 19 years),167
2017Q4,Nyamira County,Masaba North,Teen pregnancy (10 to 19 years),175
2017Q4,Nyamira County,Nyamira North,Teen pregnancy (10 to 19 years),260
2017Q4,Nyamira County,Nyamira,Teen pregnancy (10 to 19 years),329
2017Q4,Nyandarua County,Kinangop,Teen pregnancy (10 to 19 years),313
2017Q4,Nyandarua County,Kipipiri,Teen pregnancy (10 to 19 years),65
2017Q4,Nyandarua County,Ndaragwa,Teen pregnancy (10 to 19 years),67
2017Q4,Nyandarua County,Oljoroorok,Teen pregnancy (10 to 19 years),96
2017Q4,Nyandarua County,Olkalou,Teen pregnancy (10 to 19 years),144
2017Q4,Nyeri County,Kieni East,Teen pregnancy (10 to 19 years),90
2017Q4,Nyeri County,Kieni West,Teen pregnancy (10 to 19 years),66
2017Q4,Nyeri County,Mathira East,Teen pregnancy (10 to 19 years),14
2017Q4,Nyeri County,Mathira West,Teen pregnancy (10 to 19 years),15
2017Q4,Nyeri County,Mukurweini,Teen pregnancy (10 to 19 years),75
2017Q4,Nyeri County,Nyeri Central,Teen pregnancy (10 to 19 years),203
2017Q4,Nyeri County,Nyeri South,Teen pregnancy (10 to 19 years),104
2017Q4,Nyeri County,Tetu,Teen pregnancy (10 to 19 years),51
2017Q4,Samburu County,Samburu Central,Teen pregnancy (10 to 19 years),354
2017Q4,Samburu County,Samburu East,Teen pregnancy (10 to 19 years),191
2017Q4,Samburu County,Samburu North,Teen pregnancy (10 to 19 years),75
2017Q4,Siaya County,Alego Usonga,Teen pregnancy (10 to 19 years),657
2017Q4,Siaya County,Bondo,Teen pregnancy (10 to 19 years),468
2017Q4,Siaya County,Gem,Teen pregnancy (10 to 19 years),688
2017Q4,Siaya County,Rarieda,Teen pregnancy (10 to 19 years),580
2017Q4,Siaya County,Ugenya,Teen pregnancy (10 to 19 years),358
2017Q4,Siaya County,Ugunja,Teen pregnancy (10 to 19 years),354
2017Q4,Taita Taveta County,Mwatate,Teen pregnancy (10 to 19 years),95
2017Q4,Taita Taveta County,Taveta,Teen pregnancy (10 to 19 years),301
2017Q4,Taita Taveta County,Voi,Teen pregnancy (10 to 19 years),236
2017Q4,Taita Taveta County,Wundanyi,Teen pregnancy (10 to 19 years),76
2017Q4,Tana River County,Bura,Teen pregnancy (10 to 19 years),289
2017Q4,Tana River County,Galole,Teen pregnancy (10 to 19 years),431
2017Q4,Tana River County,Garsen,Teen pregnancy (10 to 19 years),290
2017Q4,Tharaka Nithi County,Chuka,Teen pregnancy (10 to 19 years),167
2017Q4,Tharaka Nithi County,Igambangombe,Teen pregnancy (10 to 19 years),67
2017Q4,Tharaka Nithi County,Muthambi,Teen pregnancy (10 to 19 years),61
2017Q4,Tharaka Nithi County,Mwimbi,Teen pregnancy (10 to 19 years),151
2017Q4,Tharaka Nithi County,Tharaka North,Teen pregnancy (10 to 19 years),90
2017Q4,Tharaka Nithi County,Tharaka South,Teen pregnancy (10 to 19 years),159
2017Q4,Trans Nzoia County,Cherangany,Teen pregnancy (10 to 19 years),262
2017Q4,Trans Nzoia County,Endebess,Teen pregnancy (10 to 19 years),227
2017Q4,Trans Nzoia County,Kiminini,Teen pregnancy (10 to 19 years),512
2017Q4,Trans Nzoia County,Kwanza,Teen pregnancy (10 to 19 years),474
2017Q4,Trans Nzoia County,Saboti,Teen pregnancy (10 to 19 years),436
2017Q4,Turkana County,Kibish,Teen pregnancy (10 to 19 years),88
2017Q4,Turkana County,Loima,Teen pregnancy (10 to 19 years),226
2017Q4,Turkana County,Turkana Central,Teen pregnancy (10 to 19 years),574
2017Q4,Turkana County,Turkana East,Teen pregnancy (10 to 19 years),108
2017Q4,Turkana County,Turkana North,Teen pregnancy (10 to 19 years),58
2017Q4,Turkana County,Turkana South,Teen pregnancy (10 to 19 years),259
2017Q4,Turkana County,Turkana West,Teen pregnancy (10 to 19 years),270
2017Q4,Uasin Gishu County,Ainabkoi,Teen pregnancy (10 to 19 years),260
