period,county,type,pregnancy
2018 Q1,Trans Nzoia County,Teen pregnancy (10 to 19 years),2762
2018 Q1,Turkana County,Teen pregnancy (10 to 19 years),1744
2018 Q1,Uasin Gishu County,Teen pregnancy (10 to 19 years),2399
2018 Q1,Vihiga County,Teen pregnancy (10 to 19 years),1518
2018 Q1,Wajir County,Teen pregnancy (10 to 19 years),690
2018 Q1,West Pokot County,Teen pregnancy (10 to 19 years),2132
2018 Q2,Baringo County,Teen pregnancy (10 to 19 years),1767
2018 Q2,Bomet County,Teen pregnancy (10 to 19 years),2705
2018 Q2,Bungoma County,Teen pregnancy (10 to 19 years),4667
2018 Q2,Busia County,Teen pregnancy (10 to 19 years),3101
2018 Q2,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),1136
2018 Q2,Embu County,Teen pregnancy (10 to 19 years),512
2018 Q2,Garissa County,Teen pregnancy (10 to 19 years),1334
2018 Q2,Homa Bay County,Teen pregnancy (10 to 19 years),3719
2018 Q2,Isiolo County,Teen pregnancy (10 to 19 years),638
2018 Q2,Kajiado County,Teen pregnancy (10 to 19 years),2687
2018 Q2,Kakamega County,Teen pregnancy (10 to 19 years),4248
2018 Q2,Kericho County,Teen pregnancy (10 to 19 years),2144
2018 Q2,Kiambu County,Teen pregnancy (10 to 19 years),3520
2018 Q2,Kilifi County,Teen pregnancy (10 to 19 years),3930
2018 Q2,Kirinyaga County,Teen pregnancy (10 to 19 years),963
2018 Q2,Kisii County,Teen pregnancy (10 to 19 years),3303
2018 Q2,Kisumu County,Teen pregnancy (10 to 19 years),2257
2018 Q2,Kitui County,Teen pregnancy (10 to 19 years),2929
2018 Q2,Kwale County,Teen pregnancy (10 to 19 years),3532
2018 Q2,Laikipia County,Teen pregnancy (10 to 19 years),1164
2018 Q2,Lamu County,Teen pregnancy (10 to 19 years),359
2018 Q2,Machakos County,Teen pregnancy (10 to 19 years),2630
2018 Q2,Makueni County,Teen pregnancy (10 to 19 years),2258
2018 Q2,Mandera County,Teen pregnancy (10 to 19 years),948
2018 Q2,Marsabit County,Teen pregnancy (10 to 19 years),630
2018 Q2,Meru County,Teen pregnancy (10 to 19 years),4161
2018 Q2,Migori County,Teen pregnancy (10 to 19 years),3295
2018 Q2,Mombasa County,Teen pregnancy (10 to 19 years),1733
2018 Q2,Muranga County,Teen pregnancy (10 to 19 years),1596
2018 Q2,Nairobi County,Teen pregnancy (10 to 19 years),7401
2018 Q2,Nakuru County,Teen pregnancy (10 to 19 years),4540
2018 Q2,Nandi County,Teen pregnancy (10 to 19 years),2310
2018 Q2,Narok County,Teen pregnancy (10 to 19 years),3833
2018 Q2,Nyamira County,Teen pregnancy (10 to 19 years),1633
2018 Q2,Nyandarua County,Teen pregnancy (10 to 19 years),896
2018 Q2,Nyeri County,Teen pregnancy (10 to 19 years),644
2018 Q2,Samburu County,Teen pregnancy (10 to 19 years),969
2018 Q2,Siaya County,Teen pregnancy (10 to 19 years),3661
2018 Q2,Taita Taveta County,Teen pregnancy (10 to 19 years),919
2018 Q2,Tana River County,Teen pregnancy (10 to 19 years),1297
2018 Q2,Tharaka Nithi County,Teen pregnancy (10 to 19 years),1114
2018 Q2,Trans Nzoia County,Teen pregnancy (10 to 19 years),3115
2018 Q2,Turkana County,Teen pregnancy (10 to 19 years),1870
2018 Q2,Uasin Gishu County,Teen pregnancy (10 to 19 years),2382
2018 Q2,Vihiga County,Teen pregnancy (10 to 19 years),1675
2018 Q2,Wajir County,Teen pregnancy (10 to 19 years),748
2018 Q2,West Pokot County,Teen pregnancy (10 to 19 years),2183
2018 Q3,Baringo County,Teen pregnancy (10 to 19 years),1889
2018 Q3,Bomet County,Teen pregnancy (10 to 19 years),2558
2018 Q3,Bungoma County,Teen pregnancy (10 to 19 years),4688
2018 Q3,Busia County,Teen pregnancy (10 to 19 years),2709
2018 Q3,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),1083
2018 Q3,Embu County,Teen pregnancy (10 to 19 years),579
2018 Q3,Garissa County,Teen pregnancy (10 to 19 years),1020
2018 Q3,Homa Bay County,Teen pregnancy (10 to 19 years),3817
2018 Q3,Isiolo County,Teen pregnancy (10 to 19 years),757
2018 Q3,Kajiado County,Teen pregnancy (10 to 19 years),2795
2018 Q3,Kakamega County,Teen pregnancy (10 to 19 years),4837
2018 Q3,Kericho County,Teen pregnancy (10 to 19 years),2470
2018 Q3,Kiambu County,Teen pregnancy (10 to 19 years),3871
2018 Q3,Kilifi County,Teen pregnancy (10 to 19 years),3827
2018 Q3,Kirinyaga County,Teen pregnancy (10 to 19 years),1056
2018 Q3,Kisii County,Teen pregnancy (10 to 19 years),3351
2018 Q3,Kisumu County,Teen pregnancy (10 to 19 years),1859
2018 Q3,Kitui County,Teen pregnancy (10 to 19 years),3232
2018 Q3,Kwale County,Teen pregnancy (10 to 19 years),2846
2018 Q3,Laikipia County,Teen pregnancy (10 to 19 years),1289
2018 Q3,Lamu County,Teen pregnancy (10 to 19 years),381
2018 Q3,Machakos County,Teen pregnancy (10 to 19 years),2600
2018 Q3,Makueni County,Teen pregnancy (10 to 19 years),2145
2018 Q3,Mandera County,Teen pregnancy (10 to 19 years),1307
2018 Q3,Marsabit County,Teen pregnancy (10 to 19 years),677
2018 Q3,Meru County,Teen pregnancy (10 to 19 years),4435
2018 Q3,Migori County,Teen pregnancy (10 to 19 years),3208
2018 Q3,Mombasa County,Teen pregnancy (10 to 19 years),1503
2018 Q3,Muranga County,Teen pregnancy (10 to 19 years),1755
2018 Q3,Nairobi County,Teen pregnancy (10 to 19 years),6544
2018 Q3,Nakuru County,Teen pregnancy (10 to 19 years),4498
2018 Q3,Nandi County,Teen pregnancy (10 to 19 years),2125
2018 Q3,Narok County,Teen pregnancy (10 to 19 years),4519
2018 Q3,Nyamira County,Teen pregnancy (10 to 19 years),1052
2018 Q3,Nyandarua County,Teen pregnancy (10 to 19 years),952
2018 Q3,Nyeri County,Teen pregnancy (10 to 19 years),688
2018 Q3,Samburu County,Teen pregnancy (10 to 19 years),997
2018 Q3,Siaya County,Teen pregnancy (10 to 19 years),3384
2018 Q3,Taita Taveta County,Teen pregnancy (10 to 19 years),884
2018 Q3,Tana River County,Teen pregnancy (10 to 19 years),1277
2018 Q3,Tharaka Nithi County,Teen pregnancy (10 to 19 years),1095
2018 Q3,Trans Nzoia County,Teen pregnancy (10 to 19 years),3116
2018 Q3,Turkana County,Teen pregnancy (10 to 19 years),2223
2018 Q3,Uasin Gishu County,Teen pregnancy (10 to 19 years),2756
2018 Q3,Vihiga County,Teen pregnancy (10 to 19 years),1715
2018 Q3,Wajir County,Teen pregnancy (10 to 19 years),858
2018 Q3,West Pokot County,Teen pregnancy (10 to 19 years),2413
2018 Q4,Baringo County,Teen pregnancy (10 to 19 years),1252
2018 Q4,Bomet County,Teen pregnancy (10 to 19 years),2496
2018 Q4,Bungoma County,Teen pregnancy (10 to 19 years),4449
2018 Q4,Busia County,Teen pregnancy (10 to 19 years),2501
2018 Q4,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),925
2018 Q4,Embu County,Teen pregnancy (10 to 19 years),488
2018 Q4,Garissa County,Teen pregnancy (10 to 19 years),1041
2018 Q4,Homa Bay County,Teen pregnancy (10 to 19 years),3418
2018 Q4,Isiolo County,Teen pregnancy (10 to 19 years),674
2018 Q4,Kajiado County,Teen pregnancy (10 to 19 years),2342
2018 Q4,Kakamega County,Teen pregnancy (10 to 19 years),4364
2018 Q4,Kericho County,Teen pregnancy (10 to 19 years),2248
2018 Q4,Kiambu County,Teen pregnancy (10 to 19 years),3639
2018 Q4,Kilifi County,Teen pregnancy (10 to 19 years),3542
2018 Q4,Kirinyaga County,Teen pregnancy (10 to 19 years),1147
2018 Q4,Kisii County,Teen pregnancy (10 to 19 years),3080
2018 Q4,Kisumu County,Teen pregnancy (10 to 19 years),2107
2018 Q4,Kitui County,Teen pregnancy (10 to 19 years),2560
2018 Q4,Kwale County,Teen pregnancy (10 to 19 years),2809
2018 Q4,Laikipia County,Teen pregnancy (10 to 19 years),1470
2018 Q4,Lamu County,Teen pregnancy (10 to 19 years),343
2018 Q4,Machakos County,Teen pregnancy (10 to 19 years),2343
2018 Q4,Makueni County,Teen pregnancy (10 to 19 years),1692
2018 Q4,Mandera County,Teen pregnancy (10 to 19 years),1109
2018 Q4,Marsabit County,Teen pregnancy (10 to 19 years),1119
2018 Q4,Meru County,Teen pregnancy (10 to 19 years),3503
2018 Q4,Migori County,Teen pregnancy (10 to 19 years),2817
2018 Q4,Mombasa County,Teen pregnancy (10 to 19 years),1702
2018 Q4,Muranga County,Teen pregnancy (10 to 19 years),1590
2018 Q4,Nairobi County,Teen pregnancy (10 to 19 years),6112
2018 Q4,Nakuru County,Teen pregnancy (10 to 19 years),4033
2018 Q4,Nandi County,Teen pregnancy (10 to 19 years),1752
2018 Q4,Narok County,Teen pregnancy (10 to 19 years),3483
2018 Q4,Nyamira County,Teen pregnancy (10 to 19 years),1615
2018 Q4,Nyandarua County,Teen pregnancy (10 to 19 years),1017
2018 Q4,Nyeri County,Teen pregnancy (10 to 19 years),639
2018 Q4,Samburu County,Teen pregnancy (10 to 19 years),1039
2018 Q4,Siaya County,Teen pregnancy (10 to 19 years),3208
2018 Q4,Taita Taveta County,Teen pregnancy (10 to 19 years),830
2018 Q4,Tana River County,Teen pregnancy (10 to 19 years),1361
2018 Q4,Tharaka Nithi County,Teen pregnancy (10 to 19 years),872
2018 Q4,Trans Nzoia County,Teen pregnancy (10 to 19 years),2986
2018 Q4,Turkana County,Teen pregnancy (10 to 19 years),2045
2018 Q4,Uasin Gishu County,Teen pregnancy (10 to 19 years),2411
2018 Q4,Vihiga County,Teen pregnancy (10 to 19 years),1712
2018 Q4,Wajir County,Teen pregnancy (10 to 19 years),857
2018 Q4,West Pokot County,Teen pregnancy (10 to 19 years),2028
2019 Q1,Baringo County,Teen pregnancy (10 to 19 years),1329
2019 Q1,Bomet County,Teen pregnancy (10 to 19 years),2691
2019 Q1,Bungoma County,Teen pregnancy (10 to 19 years),4755
2019 Q1,Busia County,Teen pregnancy (10 to 19 years),2011
2019 Q1,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),880
2019 Q1,Embu County,Teen pregnancy (10 to 19 years),569
2019 Q1,Garissa County,Teen pregnancy (10 to 19 years),1200
2019 Q1,Homa Bay County,Teen pregnancy (10 to 19 years),3394
2019 Q1,Isiolo County,Teen pregnancy (10 to 19 years),810
2019 Q1,Kajiado County,Teen pregnancy (10 to 19 years),3103
2019 Q1,Kakamega County,Teen pregnancy (10 to 19 years),4953
2019 Q1,Kericho County,Teen pregnancy (10 to 19 years),2872
2019 Q1,Kiambu County,Teen pregnancy (10 to 19 years),3657
2019 Q1,Kilifi County,Teen pregnancy (10 to 19 years),2997
2019 Q1,Kirinyaga County,Teen pregnancy (10 to 19 years),879
2019 Q1,Kisii County,Teen pregnancy (10 to 19 years),2654
2019 Q1,Kisumu County,Teen pregnancy (10 to 19 years),1888
2019 Q1,Kitui County,Teen pregnancy (10 to 19 years),2303
2019 Q1,Kwale County,Teen pregnancy (10 to 19 years),3261
2019 Q1,Laikipia County,Teen pregnancy (10 to 19 years),1386
2019 Q1,Lamu County,Teen pregnancy (10 to 19 years),384
2019 Q1,Machakos County,Teen pregnancy (10 to 19 years),2810
2019 Q1,Makueni County,Teen pregnancy (10 to 19 years),1867
2019 Q1,Mandera County,Teen pregnancy (10 to 19 years),1390
2019 Q1,Marsabit County,Teen pregnancy (10 to 19 years),1199
2019 Q1,Meru County,Teen pregnancy (10 to 19 years),4153
2019 Q1,Migori County,Teen pregnancy (10 to 19 years),2848
2019 Q1,Mombasa County,Teen pregnancy (10 to 19 years),1276
2019 Q1,Muranga County,Teen pregnancy (10 to 19 years),1781
2019 Q1,Nairobi County,Teen pregnancy (10 to 19 years),6855
2019 Q1,Nakuru County,Teen pregnancy (10 to 19 years),3840
2019 Q1,Nandi County,Teen pregnancy (10 to 19 years),2065
2019 Q1,Narok County,Teen pregnancy (10 to 19 years),3888
2019 Q1,Nyamira County,Teen pregnancy (10 to 19 years),1936
2019 Q1,Nyandarua County,Teen pregnancy (10 to 19 years),955
2019 Q1,Nyeri County,Teen pregnancy (10 to 19 years),790
2019 Q1,Samburu County,Teen pregnancy (10 to 19 years),1120
2019 Q1,Siaya County,Teen pregnancy (10 to 19 years),2991
2019 Q1,Taita Taveta County,Teen pregnancy (10 to 19 years),727
2019 Q1,Tana River County,Teen pregnancy (10 to 19 years),1640
2019 Q1,Tharaka Nithi County,Teen pregnancy (10 to 19 years),983
2019 Q1,Trans Nzoia County,Teen pregnancy (10 to 19 years),2743
2019 Q1,Turkana County,Teen pregnancy (10 to 19 years),2401
2019 Q1,Uasin Gishu County,Teen pregnancy (10 to 19 years),2590
2019 Q1,Vihiga County,Teen pregnancy (10 to 19 years),1776
2019 Q1,Wajir County,Teen pregnancy (10 to 19 years),728
2019 Q1,West Pokot County,Teen pregnancy (10 to 19 years),1761
2019 Q2,Baringo County,Teen pregnancy (10 to 19 years),1449
2019 Q2,Bomet County,Teen pregnancy (10 to 19 years),2647
2019 Q2,Bungoma County,Teen pregnancy (10 to 19 years),3787
2019 Q2,Busia County,Teen pregnancy (10 to 19 years),1674
2019 Q2,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),1031
2019 Q2,Embu County,Teen pregnancy (10 to 19 years),520
2019 Q2,Garissa County,Teen pregnancy (10 to 19 years),1152
2019 Q2,Homa Bay County,Teen pregnancy (10 to 19 years),3785
2019 Q2,Isiolo County,Teen pregnancy (10 to 19 years),768
2019 Q2,Kajiado County,Teen pregnancy (10 to 19 years),3267
2019 Q2,Kakamega County,Teen pregnancy (10 to 19 years),4608
2019 Q2,Kericho County,Teen pregnancy (10 to 19 years),2658
2019 Q2,Kiambu County,Teen pregnancy (10 to 19 years),3564
2019 Q2,Kilifi County,Teen pregnancy (10 to 19 years),2392
2019 Q2,Kirinyaga County,Teen pregnancy (10 to 19 years),690
2019 Q2,Kisii County,Teen pregnancy (10 to 19 years),2940
2019 Q2,Kisumu County,Teen pregnancy (10 to 19 years),2127
2019 Q2,Kitui County,Teen pregnancy (10 to 19 years),2446
2019 Q2,Kwale County,Teen pregnancy (10 to 19 years),2830
2019 Q2,Laikipia County,Teen pregnancy (10 to 19 years),1397
2019 Q2,Lamu County,Teen pregnancy (10 to 19 years),335
2019 Q2,Machakos County,Teen pregnancy (10 to 19 years),2801
2019 Q2,Makueni County,Teen pregnancy (10 to 19 years),1943
2019 Q2,Mandera County,Teen pregnancy (10 to 19 years),1037
2019 Q2,Marsabit County,Teen pregnancy (10 to 19 years),962
2019 Q2,Meru County,Teen pregnancy (10 to 19 years),4063
2019 Q2,Migori County,Teen pregnancy (10 to 19 years),3052
2019 Q2,Mombasa County,Teen pregnancy (10 to 19 years),976
2019 Q2,Muranga County,Teen pregnancy (10 to 19 years),1654
2019 Q2,Nairobi County,Teen pregnancy (10 to 19 years),7069
2019 Q2,Nakuru County,Teen pregnancy (10 to 19 years),4269
2019 Q2,Nandi County,Teen pregnancy (10 to 19 years),2226
2019 Q2,Narok County,Teen pregnancy (10 to 19 years),3969
2019 Q2,Nyamira County,Teen pregnancy (10 to 19 years),2194
2019 Q2,Nyandarua County,Teen pregnancy (10 to 19 years),933
2019 Q2,Nyeri County,Teen pregnancy (10 to 19 years),767
2019 Q2,Samburu County,Teen pregnancy (10 to 19 years),1215
2019 Q2,Siaya County,Teen pregnancy (10 to 19 years),3186
2019 Q2,Taita Taveta County,Teen pregnancy (10 to 19 years),877
2019 Q2,Tana River County,Teen pregnancy (10 to 19 years),1389
2019 Q2,Tharaka Nithi County,Teen pregnancy (10 to 19 years),1038
2019 Q2,Trans Nzoia County,Teen pregnancy (10 to 19 years),3382
2019 Q2,Turkana County,Teen pregnancy (10 to 19 years),2094
2019 Q2,Uasin Gishu County,Teen pregnancy (10 to 19 years),2610
2019 Q2,Vihiga County,Teen pregnancy (10 to 19 years),1827
2019 Q2,Wajir County,Teen pregnancy (10 to 19 years),721
2019 Q2,West Pokot County,Teen pregnancy (10 to 19 years),2190
2019 Q3,Baringo County,Teen pregnancy (10 to 19 years),1293
2019 Q3,Bomet County,Teen pregnancy (10 to 19 years),3217
2019 Q3,Bungoma County,Teen pregnancy (10 to 19 years),3233
2019 Q3,Busia County,Teen pregnancy (10 to 19 years),1409
2019 Q3,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),1180
2019 Q3,Embu County,Teen pregnancy (10 to 19 years),598
2019 Q3,Garissa County,Teen pregnancy (10 to 19 years),1505
2019 Q3,Homa Bay County,Teen pregnancy (10 to 19 years),3427
2019 Q3,Isiolo County,Teen pregnancy (10 to 19 years),724
2019 Q3,Kajiado County,Teen pregnancy (10 to 19 years),3486
2019 Q3,Kakamega County,Teen pregnancy (10 to 19 years),4370
2019 Q3,Kericho County,Teen pregnancy (10 to 19 years),2647
2019 Q3,Kiambu County,Teen pregnancy (10 to 19 years),3354
2019 Q3,Kilifi County,Teen pregnancy (10 to 19 years),2058
2019 Q3,Kirinyaga County,Teen pregnancy (10 to 19 years),1096
2019 Q3,Kisii County,Teen pregnancy (10 to 19 years),2579
2019 Q3,Kisumu County,Teen pregnancy (10 to 19 years),1650
2019 Q3,Kitui County,Teen pregnancy (10 to 19 years),1663
2019 Q3,Kwale County,Teen pregnancy (10 to 19 years),2730
2019 Q3,Laikipia County,Teen pregnancy (10 to 19 years),1388
2019 Q3,Lamu County,Teen pregnancy (10 to 19 years),332
2019 Q3,Machakos County,Teen pregnancy (10 to 19 years),2897
2019 Q3,Makueni County,Teen pregnancy (10 to 19 years),2024
2019 Q3,Mandera County,Teen pregnancy (10 to 19 years),1177
2019 Q3,Marsabit County,Teen pregnancy (10 to 19 years),948
2019 Q3,Meru County,Teen pregnancy (10 to 19 years),4276
2019 Q3,Migori County,Teen pregnancy (10 to 19 years),2568
2019 Q3,Mombasa County,Teen pregnancy (10 to 19 years),750
2019 Q3,Muranga County,Teen pregnancy (10 to 19 years),1715
2019 Q3,Nairobi County,Teen pregnancy (10 to 19 years),7043
2019 Q3,Nakuru County,Teen pregnancy (10 to 19 years),4524
2019 Q3,Nandi County,Teen pregnancy (10 to 19 years),2090
2019 Q3,Narok County,Teen pregnancy (10 to 19 years),3949
2019 Q3,Nyamira County,Teen pregnancy (10 to 19 years),2170
2019 Q3,Nyandarua County,Teen pregnancy (10 to 19 years),1067
2019 Q3,Nyeri County,Teen pregnancy (10 to 19 years),785
2019 Q3,Samburu County,Teen pregnancy (10 to 19 years),1255
2019 Q3,Siaya County,Teen pregnancy (10 to 19 years),2402
2019 Q3,Taita Taveta County,Teen pregnancy (10 to 19 years),852
2019 Q3,Tana River County,Teen pregnancy (10 to 19 years),1324
2019 Q3,Tharaka Nithi County,Teen pregnancy (10 to 19 years),1075
2019 Q3,Trans Nzoia County,Teen pregnancy (10 to 19 years),3166
2019 Q3,Turkana County,Teen pregnancy (10 to 19 years),2101
2019 Q3,Uasin Gishu County,Teen pregnancy (10 to 19 years),2281
2019 Q3,Vihiga County,Teen pregnancy (10 to 19 years),1909
2019 Q3,Wajir County,Teen pregnancy (10 to 19 years),796
2019 Q3,West Pokot County,Teen pregnancy (10 to 19 years),2644
2019 Q4,Baringo County,Teen pregnancy (10 to 19 years),1167
2019 Q4,Bomet County,Teen pregnancy (10 to 19 years),2598
2019 Q4,Bungoma County,Teen pregnancy (10 to 19 years),2737
2019 Q4,Busia County,Teen pregnancy (10 to 19 years),1606
2019 Q4,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),928
2019 Q4,Embu County,Teen pregnancy (10 to 19 years),464
2019 Q4,Garissa County,Teen pregnancy (10 to 19 years),1033
2019 Q4,Homa Bay County,Teen pregnancy (10 to 19 years),3038
2019 Q4,Isiolo County,Teen pregnancy (10 to 19 years),563
2019 Q4,Kajiado County,Teen pregnancy (10 to 19 years),3000
2019 Q4,Kakamega County,Teen pregnancy (10 to 19 years),3624
2019 Q4,Kericho County,Teen pregnancy (10 to 19 years),2346
2019 Q4,Kiambu County,Teen pregnancy (10 to 19 years),2951
2019 Q4,Kilifi County,Teen pregnancy (10 to 19 years),2033
2019 Q4,Kirinyaga County,Teen pregnancy (10 to 19 years),693
2019 Q4,Kisii County,Teen pregnancy (10 to 19 years),2807
2019 Q4,Kisumu County,Teen pregnancy (10 to 19 years),1887
2019 Q4,Kitui County,Teen pregnancy (10 to 19 years),2059
2019 Q4,Kwale County,Teen pregnancy (10 to 19 years),2430
2019 Q4,Laikipia County,Teen pregnancy (10 to 19 years),1335
2019 Q4,Lamu County,Teen pregnancy (10 to 19 years),256
2019 Q4,Machakos County,Teen pregnancy (10 to 19 years),2390
2019 Q4,Makueni County,Teen pregnancy (10 to 19 years),1400
2019 Q4,Mandera County,Teen pregnancy (10 to 19 years),852
2019 Q4,Marsabit County,Teen pregnancy (10 to 19 years),575
2019 Q4,Meru County,Teen pregnancy (10 to 19 years),3334
2019 Q4,Migori County,Teen pregnancy (10 to 19 years),2265
2019 Q4,Mombasa County,Teen pregnancy (10 to 19 years),699
2019 Q4,Muranga County,Teen pregnancy (10 to 19 years),1510
2019 Q4,Nairobi County,Teen pregnancy (10 to 19 years),5578
2019 Q4,Nakuru County,Teen pregnancy (10 to 19 years),3869
2019 Q4,Nandi County,Teen pregnancy (10 to 19 years),1690
2019 Q4,Narok County,Teen pregnancy (10 to 19 years),3156
2019 Q4,Nyamira County,Teen pregnancy (10 to 19 years),1955
2019 Q4,Nyandarua County,Teen pregnancy (10 to 19 years),969
2019 Q4,Nyeri County,Teen pregnancy (10 to 19 years),762
2019 Q4,Samburu County,Teen pregnancy (10 to 19 years),1058
2019 Q4,Siaya County,Teen pregnancy (10 to 19 years),2279
2019 Q4,Taita Taveta County,Teen pregnancy (10 to 19 years),766
2019 Q4,Tana River County,Teen pregnancy (10 to 19 years),1114
2019 Q4,Tharaka Nithi County,Teen pregnancy (10 to 19 years),915
2019 Q4,Trans Nzoia County,Teen pregnancy (10 to 19 years),2706
2019 Q4,Turkana County,Teen pregnancy (10 to 19 years),1794
2019 Q4,Uasin Gishu County,Teen pregnancy (10 to 19 years),1974
2019 Q4,Vihiga County,Teen pregnancy (10 to 19 years),1843
2019 Q4,Wajir County,Teen pregnancy (10 to 19 years),709
2019 Q4,West Pokot County,Teen pregnancy (10 to 19 years),1965
2020 Q1,Baringo County,Teen pregnancy (10 to 19 years),1358
2020 Q1,Bomet County,Teen pregnancy (10 to 19 years),2180
2020 Q1,Bungoma County,Teen pregnancy (10 to 19 years),3317
2020 Q1,Busia County,Teen pregnancy (10 to 19 years),1594
2020 Q1,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),999
2020 Q1,Embu County,Teen pregnancy (10 to 19 years),564
2020 Q1,Garissa County,Teen pregnancy (10 to 19 years),625
2020 Q1,Homa Bay County,Teen pregnancy (10 to 19 years),3611
2020 Q1,Isiolo County,Teen pregnancy (10 to 19 years),590
2020 Q1,Kajiado County,Teen pregnancy (10 to 19 years),3358
2020 Q1,Kakamega County,Teen pregnancy (10 to 19 years),3978
2020 Q1,Kericho County,Teen pregnancy (10 to 19 years),2401
2020 Q1,Kiambu County,Teen pregnancy (10 to 19 years),3038
2020 Q1,Kilifi County,Teen pregnancy (10 to 19 years),2205
2020 Q1,Kirinyaga County,Teen pregnancy (10 to 19 years),633
2020 Q1,Kisii County,Teen pregnancy (10 to 19 years),2395
2020 Q1,Kisumu County,Teen pregnancy (10 to 19 years),1870
2020 Q1,Kitui County,Teen pregnancy (10 to 19 years),1647
2020 Q1,Kwale County,Teen pregnancy (10 to 19 years),2740
2020 Q1,Laikipia County,Teen pregnancy (10 to 19 years),1285
2020 Q1,Lamu County,Teen pregnancy (10 to 19 years),391
2020 Q1,Machakos County,Teen pregnancy (10 to 19 years),1266
2020 Q1,Makueni County,Teen pregnancy (10 to 19 years),1470
2020 Q1,Mandera County,Teen pregnancy (10 to 19 years),783
2020 Q1,Marsabit County,Teen pregnancy (10 to 19 years),789
2020 Q1,Meru County,Teen pregnancy (10 to 19 years),3157
2020 Q1,Migori County,Teen pregnancy (10 to 19 years),2661
2020 Q1,Mombasa County,Teen pregnancy (10 to 19 years),587
2020 Q1,Muranga County,Teen pregnancy (10 to 19 years),1527
2020 Q1,Nairobi County,Teen pregnancy (10 to 19 years),7903
2020 Q1,Nakuru County,Teen pregnancy (10 to 19 years),3590
2020 Q1,Nandi County,Teen pregnancy (10 to 19 years),1993
2020 Q1,Narok County,Teen pregnancy (10 to 19 years),3611
2020 Q1,Nyamira County,Teen pregnancy (10 to 19 years),1711
2020 Q1,Nyandarua County,Teen pregnancy (10 to 19 years),706
2020 Q1,Nyeri County,Teen pregnancy (10 to 19 years),791
2020 Q1,Samburu County,Teen pregnancy (10 to 19 years),1265
2020 Q1,Siaya County,Teen pregnancy (10 to 19 years),2139
2020 Q1,Taita Taveta County,Teen pregnancy (10 to 19 years),700
2020 Q1,Tana River County,Teen pregnancy (10 to 19 years),1603
2020 Q1,Tharaka Nithi County,Teen pregnancy (10 to 19 years),901
2020 Q1,Trans Nzoia County,Teen pregnancy (10 to 19 years),2922
2020 Q1,Turkana County,Teen pregnancy (10 to 19 years),2263
2020 Q1,Uasin Gishu County,Teen pregnancy (10 to 19 years),1298
2020 Q1,Vihiga County,Teen pregnancy (10 to 19 years),1776
2020 Q1,Wajir County,Teen pregnancy (10 to 19 years),728
2020 Q1,West Pokot County,Teen pregnancy (10 to 19 years),2103
2020 Q2,Baringo County,Teen pregnancy (10 to 19 years),871
2020 Q2,Bomet County,Teen pregnancy (10 to 19 years),1571
2020 Q2,Bungoma County,Teen pregnancy (10 to 19 years),2454
2020 Q2,Busia County,Teen pregnancy (10 to 19 years),975
2020 Q2,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),816
2020 Q2,Embu County,Teen pregnancy (10 to 19 years),476
2020 Q2,Garissa County,Teen pregnancy (10 to 19 years),327
2020 Q2,Homa Bay County,Teen pregnancy (10 to 19 years),2430
2020 Q2,Isiolo County,Teen pregnancy (10 to 19 years),416
2020 Q2,Kajiado County,Teen pregnancy (10 to 19 years),1943
2020 Q2,Kakamega County,Teen pregnancy (10 to 19 years),3133
2020 Q2,Kericho County,Teen pregnancy (10 to 19 years),1420
2020 Q2,Kiambu County,Teen pregnancy (10 to 19 years),1857
2020 Q2,Kilifi County,Teen pregnancy (10 to 19 years),1282
2020 Q2,Kirinyaga County,Teen pregnancy (10 to 19 years),506
2020 Q2,Kisii County,Teen pregnancy (10 to 19 years),1814
2020 Q2,Kisumu County,Teen pregnancy (10 to 19 years),1255
2020 Q2,Kitui County,Teen pregnancy (10 to 19 years),1124
2020 Q2,Kwale County,Teen pregnancy (10 to 19 years),1406
2020 Q2,Laikipia County,Teen pregnancy (10 to 19 years),839
2020 Q2,Lamu County,Teen pregnancy (10 to 19 years),170
2020 Q2,Machakos County,Teen pregnancy (10 to 19 years),831
2020 Q2,Makueni County,Teen pregnancy (10 to 19 years),1111
2020 Q2,Mandera County,Teen pregnancy (10 to 19 years),547
2020 Q2,Marsabit County,Teen pregnancy (10 to 19 years),629
2020 Q2,Meru County,Teen pregnancy (10 to 19 years),2526
2020 Q2,Migori County,Teen pregnancy (10 to 19 years),1875
2020 Q2,Mombasa County,Teen pregnancy (10 to 19 years),464
2020 Q2,Muranga County,Teen pregnancy (10 to 19 years),1078
2020 Q2,Nairobi County,Teen pregnancy (10 to 19 years),3434
2020 Q2,Nakuru County,Teen pregnancy (10 to 19 years),2456
2020 Q2,Nandi County,Teen pregnancy (10 to 19 years),1368
2020 Q2,Narok County,Teen pregnancy (10 to 19 years),2904
